n_tar,n_sp,id,Runtime,Obj
1,2,0,1.6040000915527344,9.022
1,2,1,0.252000093460083,1.001
1,2,2,0.35199999809265137,1.001
1,2,3,4.700000047683716,9.02
1,2,4,1.6340000629425049,7.015
1,2,5,0.4719998836517334,5.008
1,2,6,0.4419999122619629,5.013
1,2,7,1.441999912261963,7.016
1,2,8,0.4630000591278076,5.014
1,2,9,0.39299988746643066,2.002
1,3,0,0.5190000534057617,7.023
1,3,1,0.4230000972747803,4.005
1,3,2,0.437999963760376,5.006
1,3,3,0.4549999237060547,4.005
1,3,4,0.3619999885559082,2.004
1,3,5,0.4230000972747803,4.005
1,3,6,0.33899998664855957,2.006
1,3,7,0.377000093460083,1.001
1,3,8,1.2999999523162842,7.015
1,3,9,0.3769998550415039,5.008
1,4,0,0.565000057220459,7.016
1,4,1,0.375,6.015
1,4,2,0.312999963760376,1.001
1,4,3,0.3789999485015869,4.004
1,4,4,0.34399986267089844,4.005
1,4,5,0.3599998950958252,2.002
1,4,6,0.3599998950958252,2.004
1,4,7,0.4230000972747803,7.013
1,4,8,0.3429999351501465,1.001
1,4,9,0.440000057220459,4.006
1,5,0,0.5199999809265137,7.014
1,5,1,0.43599987030029297,5.005
1,5,2,0.39300012588500977,5.009
1,5,3,0.36100006103515625,2.002
1,5,4,0.3340001106262207,1.001
1,5,5,0.36100006103515625,2.002
1,5,6,0.4849998950958252,4.005
1,5,7,0.35899996757507324,3.002
1,5,8,0.36100006103515625,3.002
1,5,9,0.34399986267089844,1.001
1,8,0,0.3600001335144043,5.009
1,8,1,0.37800002098083496,7.013
1,8,2,0.37199997901916504,3.003
1,8,3,0.39100003242492676,4.004
1,8,4,0.36500000953674316,3.002
1,8,5,0.36099982261657715,3.004
1,8,6,0.33899998664855957,1.001
1,8,7,0.36100006103515625,4.003
1,8,8,0.35899996757507324,6.007
1,8,9,0.46899986267089844,6.008
1,12,0,0.36100006103515625,5.006
1,12,1,0.3600001335144043,3.002
1,12,2,0.372999906539917,5.004
1,12,3,0.3599998950958252,4.004
1,12,4,0.34999990463256836,3.002
1,12,5,0.3429999351501465,3.002
1,12,6,0.375,5.004
1,12,7,0.33299994468688965,1.001
1,12,8,0.37599992752075195,4.003
1,12,9,0.36100006103515625,3.004
1,15,0,0.25,6.005
1,15,1,0.2389998435974121,1.001
1,15,2,0.28100013732910156,4.003
1,15,3,0.2820000648498535,4.003
1,15,4,0.2589998245239258,4.003
1,15,5,0.26600003242492676,7.006
1,15,6,0.2650001049041748,3.002
1,15,7,0.2650001049041748,4.003
1,15,8,0.27900004386901855,5.004
1,15,9,0.2890000343322754,5.004
2,2,0,113.41599988937378,11.028
2,2,1,24.225000143051147,8.019
2,2,2,4.266000032424927,7.012
2,2,3,149.89100003242493,10.03
2,2,4,2.2850000858306885,5.011
2,2,5,5.477999925613403,7.018
2,2,6,2.1600000858306885,5.006
2,2,7,2.075000047683716,5.007
2,2,8,27.913000106811523,9.016
2,2,9,9.726999998092651,7.013
2,3,0,3.994999885559082,9.026
2,3,1,136.59400010108948,10.03
2,3,2,5.009000062942505,6.015
2,3,3,1.8380000591278076,4.006
2,3,4,1.8819999694824219,6.013
2,3,5,4.796999931335449,6.015
2,3,6,1.9479999542236328,4.007
2,3,7,12.299000024795532,8.021
