n_tar,n_sp,id,Runtime,Obj
1,2,0,0.39800000190734863,7.014
1,2,1,0.14299988746643066,6.013
1,2,2,0.09900021553039551,1.001
1,2,3,0.10599994659423828,1.001
1,2,4,0.12199997901916504,4.004
1,2,5,0.13699984550476074,4.007
1,2,6,0.1380000114440918,4.006
1,2,7,0.10699987411499023,3.003
1,2,8,0.12199997901916504,4.007
1,2,9,0.20099997520446777,5.008
1,3,0,0.15199995040893555,5.007
1,3,1,0.13399982452392578,5.006
1,3,2,0.0989999771118164,1.001
1,3,3,0.11599993705749512,4.004
1,3,4,0.12400007247924805,3.003
1,3,5,0.11899995803833008,4.004
1,3,6,0.11400008201599121,4.003
1,3,7,0.11600017547607422,1.001
1,3,8,0.12100005149841309,1.001
1,3,9,0.09600019454956055,3.003
1,4,0,0.10400009155273438,3.004
1,4,1,0.11600017547607422,2.002
1,4,2,0.11300015449523926,3.002
1,4,3,0.10299992561340332,4.005
1,4,4,0.11599993705749512,4.003
1,4,5,0.09999990463256836,1.001
1,4,6,0.1119999885559082,4.003
1,4,7,0.12900018692016602,4.004
1,4,8,0.1119999885559082,3.002
1,4,9,0.11100006103515625,3.002
1,5,0,0.13199996948242188,6.006
1,5,1,0.0969998836517334,3.002
1,5,2,0.10500001907348633,4.004
1,5,3,0.11899995803833008,1.001
1,5,4,0.0970001220703125,2.002
1,5,5,0.12099981307983398,3.002
1,5,6,0.12899994850158691,2.002
1,5,7,0.12100005149841309,4.003
1,5,8,0.11700010299682617,3.002
1,5,9,0.13400006294250488,2.002
1,6,0,0.1119999885559082,4.004
1,6,1,0.12599992752075195,4.003
1,6,2,0.10599994659423828,1.001
1,6,3,0.14099979400634766,3.002
1,6,4,0.1099998950958252,4.003
1,6,5,0.10599994659423828,1.001
1,6,6,0.13099980354309082,3.003
1,6,7,0.13300013542175293,3.002
1,6,8,0.09900021553039551,1.001
1,6,9,0.13199996948242188,1.001
1,8,0,0.0820000171661377,2.002
1,8,1,0.06500005722045898,4.003
1,8,2,0.06599998474121094,3.002
1,8,3,0.07399988174438477,1.001
1,8,4,0.059999942779541016,3.002
1,8,5,0.08099985122680664,1.001
1,8,6,0.07400012016296387,4.003
1,8,7,0.06299996376037598,1.001
1,8,8,0.06400012969970703,1.001
2,2,0,5.434999942779541,8.01
2,2,1,0.34400010108947754,2.002
2,2,2,2.752000093460083,7.015
2,2,3,0.32200002670288086,1.002
2,2,4,0.3190000057220459,1.002
2,2,5,0.6289999485015869,6.012
2,2,6,0.8539998531341553,5.006
2,2,7,0.626000165939331,5.009
2,2,8,0.37999987602233887,4.009
2,2,9,0.34200000762939453,3.003
2,3,0,0.4890000820159912,5.008
2,3,1,0.3640000820159912,2.003
2,3,2,0.3940000534057617,4.006
2,3,3,0.7669999599456787,6.006
2,3,4,0.4590001106262207,5.007
2,3,5,0.379000186920166,1.002
2,3,6,0.7689998149871826,5.005
2,3,7,0.35699987411499023,2.002
2,3,8,0.5180001258850098,4.008
2,3,9,0.41100001335144043,4.007
2,4,0,0.7300000190734863,6.01
2,4,1,0.36700010299682617,3.004
2,4,2,0.3450000286102295,3.005
2,4,3,0.3450000286102295,4.009
2,4,4,0.42299985885620117,5.004
2,4,5,0.3689999580383301,3.004
2,4,6,0.312999963760376,3.006
2,4,7,0.36100006103515625,4.004
2,4,8,0.3860001564025879,4.008
2,4,9,0.3339998722076416,3.004
2,5,0,0.567000150680542,5.007
2,5,1,0.47300004959106445,5.006
2,5,2,0.37199997901916504,4.005
2,5,3,0.377000093460083,3.005
2,5,4,0.3339998722076416,1.002
2,5,5,0.38000011444091797,3.004
2,5,6,0.3510000705718994,3.003
2,5,7,0.44700002670288086,4.005
2,5,8,0.34400010108947754,3.004
2,5,9,0.46900010108947754,3.003
2,6,0,0.37400007247924805,5.006
2,6,1,0.38899993896484375,4.005
2,6,2,0.3280000686645508,1.002
2,6,3,0.3559999465942383,4.004
2,6,4,0.37400007247924805,4.005
2,6,5,0.3489999771118164,3.003
2,6,6,0.34999990463256836,4.006
2,6,7,0.36100006103515625,3.003
2,6,8,0.3580000400543213,3.003
2,6,9,0.3660001754760742,4.005
2,7,0,0.21900010108947754,4.006
2,7,1,0.22300004959106445,4.004
2,7,2,0.22900009155273438,2.003
2,7,3,0.24899983406066895,4.005
2,7,4,0.2539999485015869,4.005
2,7,5,0.22500014305114746,5.005
2,7,6,0.24699997901916504,1.002
2,7,7,0.23800015449523926,5.006
2,7,8,0.23100018501281738,4.005
2,7,9,0.2330000400543213,4.004
3,2,0,1.503000020980835,6.009
3,2,1,2.6440000534057617,7.012
3,2,2,2.944000005722046,7.012
3,2,3,14.124000072479248,8.016
3,2,4,1.0550000667572021,5.009
3,2,5,5.0269999504089355,7.009
3,2,6,0.804999828338623,5.005
3,2,7,6.111999988555908,7.01
3,2,8,8.65499997138977,7.015
3,2,9,27.272000074386597,8.013
3,3,0,1.2799999713897705,5.011
3,3,1,0.9679999351501465,5.009
3,3,2,0.6909999847412109,5.008
3,3,3,0.48399996757507324,3.005
3,3,4,0.5450000762939453,5.007
3,3,5,1.2200000286102295,5.005
3,3,6,1.2739999294281006,6.012
3,3,7,1.749000072479248,6.011
3,3,8,0.5480000972747803,4.007
3,3,9,0.5460000038146973,2.003
3,4,0,1.4649999141693115,6.01
3,4,1,1.7239999771118164,5.011
3,4,2,1.1100001335144043,6.01
3,4,3,0.492999792098999,5.007
3,4,4,0.5740001201629639,4.009
3,4,5,2.4110000133514404,6.007
3,4,6,0.8899998664855957,5.005
3,4,7,0.9229998588562012,5.006
3,4,8,0.46899986267089844,3.004
3,4,9,0.7319998741149902,4.006
3,5,0,0.5099999904632568,4.007
3,5,1,0.8439998626708984,5.008
3,5,2,0.5199999809265137,3.005
3,5,3,0.625,4.005
3,5,4,0.9490001201629639,5.008
3,5,5,0.7760000228881836,5.008
3,5,6,0.5320000648498535,4.007
3,5,7,0.8569998741149902,5.008
3,5,8,0.4649999141693115,3.005
3,5,9,0.5150001049041748,4.007
3,6,0,0.7309999465942383,6.009
3,6,1,0.42600011825561523,3.005
3,6,2,0.8190000057220459,5.005
3,6,3,0.4529998302459717,4.005
3,6,4,0.4070000648498535,5.01
3,6,5,0.4119999408721924,3.005
3,6,6,0.45200014114379883,4.007
3,6,7,0.5859999656677246,5.007
3,6,8,0.39100003242492676,3.004
3,6,9,0.40600013732910156,5.009
4,2,0,24.674000024795532,8.016
4,2,1,6.501000165939331,7.013
4,2,2,2.871999979019165,6.01
4,2,3,51.87100005149841,9.016
4,2,4,87.35599994659424,9.017
4,2,5,1.6679999828338623,5.009
4,2,6,102.77799987792969,9.017
4,2,7,23.70799994468689,7.016
4,2,8,3.810999870300293,5.01
4,2,9,38.230000019073486,8.019
4,3,0,20.73099994659424,7.015
4,3,1,1.9809999465942383,5.009
4,3,2,1.8809998035430908,6.013
4,3,3,9.07800006866455,7.012
4,3,4,7.281999826431274,7.011
4,3,5,2.8380000591278076,6.009
4,3,6,1.2400000095367432,4.007
4,3,7,2.375,6.01
4,3,8,2.8910000324249268,6.01
4,3,9,11.61299991607666,7.014
4,4,0,1.125999927520752,5.008
4,4,1,6.332000017166138,7.013
4,4,2,2.0719997882843018,5.006
4,4,3,2.507999897003174,5.006
4,4,4,2.6570000648498535,6.013
4,4,5,14.089999914169312,7.013
4,4,6,2.546999931335449,5.011
4,4,7,0.9549999237060547,4.009
4,4,8,1.5179998874664307,5.009
4,4,9,1.249000072479248,5.007
4,5,0,0.7949998378753662,4.006
4,5,1,2.3980000019073486,6.009
4,5,2,1.872999906539917,6.009
4,5,3,1.0340001583099365,4.009
4,5,4,4.628999948501587,6.013
4,5,5,1.0910000801086426,4.008
4,5,6,0.878000020980835,4.008
4,5,7,0.7329998016357422,4.007
4,5,8,0.7999999523162842,4.007
4,5,9,0.8519999980926514,3.006
5,2,0,32.03699994087219,8.012
5,2,1,8.092000007629395,6.012
5,2,2,500,0
5,2,3,26.84500002861023,7.011
5,2,4,113.82299995422363,9.016
5,2,5,8.162999868392944,6.012
5,2,6,39.00499987602234,8.019
5,2,7,108.98699998855591,9.015
5,2,8,6.358999967575073,6.015
5,2,9,87.78699994087219,8.015
5,3,0,1.3990001678466797,3.007
5,3,1,5.877000093460083,6.01
5,3,2,52.95900011062622,7.017
5,3,3,14.095999956130981,6.011
5,3,4,3.669999837875366,5.009
5,3,5,4.940000057220459,6.013
5,3,6,10.462999820709229,6.013
5,3,7,52.30800008773804,8.014
5,3,8,9.26799988746643,6.009
5,3,9,3.6089999675750732,5.011
5,4,0,4.667999982833862,6.01
5,4,1,1.386000156402588,4.008
5,4,2,4.759999990463257,6.012
5,4,3,3.574000120162964,5.01
5,4,4,1.5460000038146973,4.008
5,4,5,2.617000102996826,5.012
5,4,6,20.049000024795532,7.015
5,4,7,19.289999961853027,7.017
5,4,8,16.894999980926514,7.012
5,4,9,4.498000144958496,5.011
6,2,0,500,0
6,2,1,179.19799995422363,8.02
6,2,2,114.56900000572205,7.016
6,2,3,311.8149998188019,9.022
6,2,4,60.503000020980835,8.015
6,2,5,225.7850000858307,10.017
6,2,6,67.03200006484985,8.015
6,2,7,71.01999998092651,8.015
6,2,8,29.463000059127808,5.011
6,2,9,500,0
6,3,0,216.9319999217987,8.022
6,3,1,97.26699995994568,8.015
6,3,2,51.497000217437744,7.018
6,3,3,17.475000143051147,7.018
6,3,4,9.17199993133545,7.015
6,3,5,32.09500002861023,7.013
6,3,6,30.87999987602234,7.011
6,3,7,131.56299996376038,9.018
6,3,8,44.80900001525879,7.012
6,3,9,8.940999984741211,6.018
