n_tar,n_sp,id,Runtime,Obj
1,2,0,500.0,0
1,2,1,68.99899983406067,9.023
1,2,2,36.187999963760376,10.024
1,2,3,11.608000040054321,7.014
1,2,4,0.3619999885559082,1.001
1,3,0,30.92199993133545,12.042
1,3,1,0.7189998626708984,6.013
1,3,2,0.6750001907348633,7.021
1,3,3,37.18900012969971,12.037
1,3,4,0.41499996185302734,1.001
1,4,0,22.921000003814697,11.04
1,4,1,0.46900010108947754,4.004
1,4,2,0.5299999713897705,4.004
1,4,3,0.5959999561309814,5.007
1,4,4,0.8210000991821289,8.022
1,5,0,4.818000078201294,11.033
1,5,1,0.562000036239624,7.01
1,5,2,0.44300007820129395,5.011
1,5,3,0.3269999027252197,4.003
1,5,4,0.29600000381469727,1.001
1,6,0,0.8110001087188721,8.024
1,6,1,0.3730001449584961,1.001
1,6,2,0.43899989128112793,4.006
1,6,3,0.38899993896484375,2.005
1,6,4,1.1110000610351562,6.01
1,12,0,0.7200000286102295,9.016
1,12,1,0.37400007247924805,4.003
1,12,2,0.3259999752044678,2.002
1,12,3,0.3899998664855957,5.004
1,12,4,0.3809998035430908,4.003
1,18,0,0.37599992752075195,5.008
1,18,1,0.35899996757507324,7.007
1,18,2,0.30900001525878906,2.002
1,18,3,0.315000057220459,4.003
1,18,4,0.30100011825561523,3.004
1,24,0,0.2630000114440918,7.006
1,24,1,0.3040001392364502,5.004
1,24,2,0.2820000648498535,5.004
1,24,3,0.2669999599456787,2.002
1,24,4,0.25,5.004
2,2,0,500.0,0
2,2,1,500.0,0
2,2,2,161.99000000953674,8.018
2,2,3,1.6509997844696045,6.015
2,2,4,500.0,0
2,3,0,60.78600001335144,11.036
2,3,1,2.9260001182556152,5.015
2,3,2,2.2129998207092285,6.012
2,3,3,54.38600015640259,7.025
2,3,4,80.76600003242493,9.031
2,4,0,2.2120001316070557,8.028
2,4,1,3.2239999771118164,9.022
2,4,2,0.9570000171661377,5.016
2,4,3,1.8440001010894775,5.016
2,4,4,1.9249999523162842,5.017
2,5,0,30.96499991416931,11.039
2,5,1,3.3469998836517334,8.018
2,5,2,4.9709999561309814,7.029
2,5,3,4.396000146865845,7.022
2,5,4,5.438999891281128,7.03
2,6,0,1.5269999504089355,8.05
2,6,1,1.3209998607635498,3.004
2,6,2,0.9059998989105225,6.014
2,6,3,4.133000135421753,8.021
2,6,4,1.559000015258789,5.019
2,12,0,3.5909998416900635,9.019
2,12,1,0.8470001220703125,5.008
2,12,2,1.4570000171661377,5.008
2,12,3,0.7279999256134033,4.016
2,12,4,0.7160000801086426,6.013
2,18,0,0.7409999370574951,5.014
2,18,1,0.7250001430511475,4.007
2,18,2,0.690000057220459,5.006
2,18,3,0.7079999446868896,5.008
2,18,4,0.7969999313354492,4.006
2,23,0,0.5099999904632568,6.006
2,23,1,0.4459998607635498,4.006
2,23,2,0.4739999771118164,5.007
2,23,3,0.49000000953674316,6.009
2,23,4,0.4850001335144043,6.007
3,2,0,500.0,0
3,2,1,106.50100016593933,10.022
3,2,2,156.10899996757507,7.021
3,2,3,260.66699981689453,9.019
3,2,4,500.0,0
3,3,0,296.52300000190735,12.049
3,3,1,1.9110000133514404,4.006
3,3,2,43.64100003242493,8.025
3,3,3,34.36899995803833,7.028
3,3,4,390.66100001335144,8.019
3,4,0,61.604000091552734,11.049
3,4,1,413.8710000514984,9.042
3,4,2,11.730999946594238,8.025
3,4,3,54.061999797821045,6.032
3,4,4,5.585000038146973,5.009
3,5,0,77.14800000190735,11.034
3,5,1,169.64199995994568,10.039
3,5,2,5.312999963760376,5.015
3,5,3,19.592999935150146,6.013
3,5,4,3.3239998817443848,5.012
3,6,0,389.70499992370605,11.048
3,6,1,39.72699999809265,8.032
3,6,2,4.573000192642212,6.027
3,6,3,500.0,0
3,6,4,5.698999881744385,6.022
3,12,0,16.42300009727478,8.028
3,12,1,4.99399995803833,8.017
3,12,2,2.9639999866485596,6.014
3,12,3,2.4789998531341553,6.011
3,12,4,3.7250001430511475,6.013
3,18,0,13.388999938964844,10.021
3,18,1,1.5109999179840088,6.009
3,18,2,4.306999921798706,6.014
3,18,3,2.634999990463257,7.018
3,18,4,2.1499998569488525,5.009
3,22,0,1.3010001182556152,7.012
3,22,1,1.1480000019073486,5.009
3,22,2,1.2609999179840088,5.008
3,22,3,1.11899995803833,6.011
3,22,4,1.430999994277954,6.01
4,2,0,500.0,0
4,2,1,500.0,0
4,2,2,500.0,0
4,2,3,500.0,0
4,2,4,500.0,0
4,3,0,337.98600006103516,11.051
4,3,1,500.0,0
4,3,2,500.0,0
4,3,3,154.0149998664856,7.023
4,3,4,238.94600009918213,9.027
4,4,0,442.55999994277954,11.046
4,4,1,500.0,0
4,4,2,329.018000125885,8.035
4,4,3,421.7279999256134,9.043
4,4,4,500.0,0
4,5,0,170.34799981117249,10.041
4,5,1,7.01200008392334,5.018
4,5,2,92.60899996757507,6.031
4,5,3,19.93999981880188,7.018
4,5,4,308.2079999446869,8.037
4,6,0,422.6579999923706,11.048
4,6,1,53.25100016593933,8.043
4,6,2,456.5279998779297,7.032
4,6,3,13.251000165939331,7.034
4,6,4,9.532999992370605,7.027
4,12,0,12.032999992370605,7.024
4,12,1,11.460000038146973,9.022
4,12,2,4.802000045776367,5.02
4,12,3,2.5450000762939453,4.011
4,12,4,8.473000049591064,6.022
4,18,0,11.577000141143799,9.02
4,18,1,2.5920000076293945,5.011
4,18,2,4.269000053405762,8.017
4,18,3,4.556999921798706,9.017
4,18,4,2.633000135421753,6.018
4,21,0,3.0870001316070557,5.011
4,21,1,2.0219998359680176,5.012
4,21,2,1.5829999446868896,5.014
4,21,3,2.128999948501587,6.014
4,21,4,2.372999906539917,5.013
5,2,0,500.0,0
5,2,1,500.0,0
5,2,2,500.0,0
5,2,3,500.0,0
5,2,4,500.0,0
5,3,0,500.0,0
5,3,1,500.0,0
5,3,2,500.0,0
5,3,3,500.0,0
5,3,4,15.460999965667725,5.022
5,4,0,500.0,0
5,4,1,500.0,0
5,4,2,500.0,0
5,4,3,263.0840001106262,7.021
5,4,4,313.16100001335144,8.039
5,5,0,500.0,0
5,5,1,500.0,0
5,5,2,500.0,0
5,5,3,500.0,0
5,5,4,74.21600008010864,7.035
5,6,0,500.0,0
5,6,1,289.72899985313416,7.024
5,6,2,100.99499988555908,7.029
5,6,3,56.144999980926514,7.03
5,6,4,500.0,0
5,12,0,20.615999937057495,7.03
5,12,1,4.51800012588501,6.033
5,12,2,15.667999982833862,7.021
5,12,3,54.85300016403198,8.026
5,12,4,12.805999994277954,6.019
5,18,0,5.390000104904175,6.02
5,18,1,3.202000141143799,5.011
5,18,2,3.8489999771118164,6.012
5,18,3,12.200999975204468,9.023
5,18,4,7.733999967575073,8.024
5,20,0,2.5230000019073486,4.012
5,20,1,4.25600004196167,7.018
5,20,2,3.7889997959136963,7.018
5,20,3,3.754999876022339,7.013
5,20,4,9.008000135421753,7.023
6,2,0,500.0,0
6,2,1,500.0,0
6,2,2,500.0,0
6,2,3,500.0,0
6,2,4,500.0,0
6,3,0,500.0,0
6,3,1,500.0,0
6,3,2,500.0,0
6,3,3,500.0,0
6,3,4,500.0,0
6,4,0,195.010999917984,9.034
6,4,1,500.0,0
6,4,2,307.9909999370575,7.035
6,4,3,500.0,0
6,4,4,500.0,0
6,5,0,500.0,0
6,5,1,500.0,0
6,5,2,500.0,0
6,5,3,82.86800003051758,7.025
6,5,4,500.0,0
6,6,0,220.88899993896484,9.037
6,6,1,500.0,0
6,6,2,493.79299998283386,8.057
6,6,3,500.0,0
6,6,4,500.0,0
6,12,0,31.289999961853027,7.031
6,12,1,35.955000162124634,8.025
6,12,2,18.169999837875366,6.021
6,12,3,6.5309998989105225,5.019
6,12,4,9.324000120162964,6.028
6,18,0,15.384999990463257,7.018
6,18,1,10.554999828338623,6.019
6,18,2,16.499000072479248,7.019
6,18,3,64.84999990463257,8.023
6,18,4,9.230000019073486,6.022
6,19,0,35.30200004577637,8.024
